Subject Title,Subject Code
Transport Systems,CVEN90048
Structural Theory and Design 2,CVEN90049
Geotechnical Engineering,CVEN90050
Civil Hydraulics,CVEN90051
Construction Engineering,CVEN90058
Integrated Infrastructure Design,CVEN90060
Freight Systems,CVEN90061
Building Information Modeling,CVEN90062
Transport System Modelling,CVEN90063
Metocean Engineering,CVEN90066
Port and Harbour Engineering,CVEN90070
Offshore Wind Geotechnical Engineering,CVEN90071
Integrated Design Studio,CVEN90073
Computational Geotechnical Engineering,CVEN90074
Transport Infrastructure Design,CVEN90075
Creative Writing: Poetry and Fiction,CWRI10001
Creative Nonfiction & Multimodal Writing,CWRI10003
Short Fiction,CWRI20002
Creative Non Fiction,CWRI20005
Poetry,CWRI20007
Writing for Screen,CWRI20009
Scripts for Contemporary Theatre,CWRI20010
Novels,CWRI30001
Poetry and Poetics of Writing Back,CWRI30006
Life Writing,CWRI30013
Advanced Screenwriting,CWRI30014
Writing Videogames and Live Performance,CWRI30015
Thinking Writing: Theory and Creativity,CWRI40004
Genealogies of Place,CWRI40009
Environmental Writing,CWRI40010
Graphic Narratives,CWRI40011
Writing Australia,CWRI40014
Creative Writing Thesis Part 1,CWRI40015
Creative Writing Thesis Part 2,CWRI40016
Serial Storytelling,CWRI40017
Collaboration and the Unforeseen,CWRI40018
Writing Fiction for Young People,CWRI90009
Creative Writing Thesis Part 1,CWRI90015
Creative Writing Thesis Part 2,CWRI90016
Advanced Creative Writing Project,CWRI90019
Advances in Oral Health Research,DENT40003
Oral Health Sci Research Proj Part 1,DENT40010
Oral Health Sci Research Proj Part 2,DENT40011
Research Design 1,DENT90011
Research Proposal 2,DENT90014
Minor Thesis 1,DENT90019
Adv Clinical Practice in Specialty 1,DENT90023
Research Design 1,DENT90031
Research Design 2,DENT90032
Research Project 2,DENT90034
Advanced Clinical Practice 1,DENT90035
Advanced Clinical Practice 2,DENT90036
Advanced Clinical Practice 2,DENT90037
Advanced Clinical Practice 4,DENT90038
Forensic Odontology 1,DENT90039
Research Project 1,DENT90045
OMS Clinical Practice 1,DENT90047
Child & Adolescent Oral Health 1,DENT90067
Dental Research Project 2,DENT90074
Endodontics 1,DENT90087
Oral Medicine 1,DENT90090
Oral Medicine 2,DENT90091
Oral Medicine 3,DENT90092
Orthodontics 1,DENT90093
Orthodontics 2,DENT90094
Orthodontics 3,DENT90095
Paediatric Dentistry 1,DENT90096
Paediatric Dentistry 2,DENT90097
Paediatric Dentistry 3,DENT90098
Periodontics 1,DENT90099
Periodontics 2,DENT90100
Prosthodontics 1,DENT90102
Prosthodontics 2,DENT90103
Prosthodontics 3,DENT90104
Special Needs Dentistry 1,DENT90105
Special Needs Dentistry 2,DENT90106
Research Proposal,DENT90108
Research Project A,DENT90109
Research Project B,DENT90110
Dental Procedural Skills 1,DENT90111
Diseases and Dentistry,DENT90112
Foundations of Dental Practice,DENT90113
Structure and Function in Dentistry,DENT90114
Dental Procedural Skills 2,DENT90115
Dental Practice 1,DENT90116
Medicine and Surgery in Dentistry,DENT90117
Principles of Dental Practice 1,DENT90118
Dental Research Project A,DENT90119
Dental Practice 2,DENT90120
"Oral Medicine, Surgery and Special Needs",DENT90121
Principles of Dental Practice 2,DENT90122
Dental Research Project B,DENT90123
Comprehensive Dental Practice,DENT90124
Foundation Procedural Skills,DENT90127
Foundations of Dental Practice PT2,DENT90132
Dental Practice 1 PT2,DENT90134
Dental Procedural Skills 1 Pt2,DENT90136
Dental Procedural Skills 2 PT2,DENT90138
Preclinical Dental Practice,DENT90141
Professional Practice 1,DENT90142
Advanced Prosthodontics,DENT90143
Advanced Prosthodontics Part 1,DENT90144
Advanced Prosthodontics Part 2,DENT90145
Development in the 21st Century,DEVT20001
Development Project Management & Design,DEVT90001
Internship in Development,DEVT90002
The Political Ecology of Development,DEVT90003
Development Theories,DEVT90009
Monitoring and Evaluation in Development,DEVT90035
"Civil Society, NGOs and the State",DEVT90039
Gender Issues in Development,DEVT90040
Political Economy of Development,DEVT90045
Development Systems and Interventions,DEVT90053
Development Studies Thesis Part 1,DEVT90054
The Anthropology of Development,DEVT90056
Disaster and Humanitarian Aid,DEVT90058
Internship in Development,DEVT90060
Global Urban Development,DEVT90061
Contemporary Leadership,DEVT90068
Leadership for Development Capstone,DEVT90069
Leadership Skills in Action,DEVT90070
Organisation Development and Change,DEVT90071
Social Policy and Development,DEVT90076
Contested Development and Culture,DEVT90078
"Conflict, Security and Development",DEVT90079
Gender Analysis in Development Practice,DEVT90080
Leading Development,DEVT90081
Contemporary Development,DEVT90082
International Management and Leadership,DEVT90083
Dancing the Dance 1,DNCE10027
Body Knowledges: Dance Science,DNCE10029
Dance Lab 1: Studio Practices,DNCE10030
Dance Lab 2: Integrated Practices,DNCE10031
Thinking through Dancing,DNCE10032
Dancing the Dance 2: Create & Perform,DNCE20031
Dancing the Dance 3: Dance for Video,DNCE20033
Dance Lab 3: Repertory Studies,DNCE20034
Knowing Dance,DNCE20035
Dance Lab 4: Composing while Dancing,DNCE20036
Digital Dance,DNCE20037
Global Atelier: Travelling Studio,DNCE20038
Professional Placement,DNCE20039
Dance Lab 5: Dance and Music,DNCE30026
Inter-disciplinary Project,DNCE30027
Choreographic Production,DNCE30028
Dance Lab 6: Performance Skills,DNCE30029
Professional Practice,DNCE30030
Dance Major Project,DNCE40004
Body Time Space and Place,DNCE90013
Inter-Disciplinary Dance Methods,DNCE90014
Choreography as Research,DNCE90015
"Dance Writing, Archives & Documentation",DNCE90016
Critical Dance Pedagogy,DNCE90017
Dance Science & Somatics,DNCE90018
Research Project,DNCE90019
Artefact and Performance 2,DPSS10005
The History of Cool: Fashion & Attitude,DPSS10007
Artefact and Performance 1,DPSS10008
Production Studio 1,DPSS10009
Production Studio 2,DPSS10010
Production Practice 1,DPSS20010
Production Studio 3,DPSS20011
Production Studio 4,DPSS20013
Production Practice 3 - Part A,DPSS30008
Production Practice 3 - Part B,DPSS30009
Professional Practice and Internship,DPSS30010
Design and Production Major Project,DPSS40001
Design Research,DPSS90001
Design Projects 1,DPSS90002
Design Projects 2,DPSS90003
Design Projects 3 Part 1,DPSS90004
Design Projects 3 Part 2,DPSS90005
Creative Collaboration (Screen),DPSS90007
Design and the Production Process,DPSS90008
Technical Collaboration (Stage & Screen),DPSS90009
Industry Practice Part 1,DPSS90010
Industry Practice Part 2,DPSS90011
Creative Collaboration (Graphic Design),DPSS90012
Technical Collaboration (Graphic Design),DPSS90013
Inside look at MTC,DRAM10026
Contextual Studies 1,DRAM10032
Performance Preparation 1,DRAM10033
Contextual Studies 2,DRAM10034
Performance Preparation 2,DRAM10035
Performance Practice 1,DRAM20028
Performance Skills 2,DRAM20031
Theatre Practice 1,DRAM20032
Theatre Practice 2,DRAM20034
Theatre Skills 2,DRAM20035
Acting for Camera,DRAM30020
Performance Practice 3,DRAM30027
Performance Skills 3,DRAM30028
Professional Practice Acting 1,DRAM30029
Performance Practice 4,DRAM30030
Performance Skills 4,DRAM30031
Theatre Practice 3,DRAM30033
Theatre Skills 3,DRAM30034
Professional Practice Theatre 1,DRAM30035
Theatre Practice 4,DRAM30036
Theatre Skills 4,DRAM30037
Professional Practice Theatre 2,DRAM30038
Theatre Major Project,DRAM40003
Performing Arts Research Methodologies,DRAM90010
Applied Dramaturgy 1,DRAM90011
Collaborative Dramaturgies Project,DRAM90012
Independent Dramaturgy Project,DRAM90013
Industry Internships and Placements,DRAM90016
Independent Directing Project,DRAM90017
Creating a Project Vision,DRAM90018
"Dramaturgy, Text and Performance",DRAM90019
Directing Methodologies,DRAM90020
"Director, Actor and Text",DRAM90021
Collaboration in Action,DRAM90022
Applied Dramaturgy 2,DRAM90023
New Writing Dramaturgy,DRAM90024
Ecology,ECOL20003
Applied Ecology,ECOL30005
Ecology in Changing Environments,ECOL30006
Marine Biodiversity and Biogeography,ECOL30007
Econometrics 1,ECOM20001
Basic Econometrics,ECOM30001
Econometrics 2,ECOM30002
Time Series Analysis and Forecasting,ECOM30004
Microeconometrics,ECOM40001
Bayesian Econometrics,ECOM40002
Macroeconometrics,ECOM40003
Financial Econometrics,ECOM40004
Modelling the Australian Macroeconomy,ECOM40005
Econometrics 3,ECOM40006
Econometrics of Markets and Competition,ECOM40007
Basic Econometrics,ECOM90001
Econometrics 2,ECOM90002
Applied Microeconometric Modelling,ECOM90003
Time Series Analysis and Forecasting,ECOM90004
Advanced Econometric Techniques,ECOM90005
Macroeconometrics,ECOM90007
Microeconometrics,ECOM90008
Quantitative Methods for Business,ECOM90009
Bayesian Econometrics,ECOM90010
Financial Econometrics,ECOM90011
Modelling the Australian Macroeconomy,ECOM90012
Econometrics 3,ECOM90013
Advanced Econometric Techniques 2,ECOM90014
Econometrics of Markets and Competition,ECOM90017
Advanced Studies in Econometrics 2,ECOM90019
Computational Economics and Business,ECOM90020
Research Project,ECOM90021
Research Methods,ECOM90022
Treatment Effects and Program Evaluation,ECOM90023
Forecasting in Economics and Business,ECOM90024
Advanced Data Analysis,ECOM90025
Econometrics Research Report Part 1,ECOM90026
Econometrics Research Report Part 2,ECOM90027
Introductory Macroeconomics,ECON10003
Introductory Microeconomics,ECON10004
Quantitative Methods 1,ECON10005
Introductory Economics,ECON10006
Intermediate Macroeconomics,ECON20001
Intermediate Microeconomics,ECON20002
Quantitative Methods 2,ECON20003
Competition and Strategy,ECON20005
Globalisation and the World Economy,ECON20007
Seminar in Economics and Commerce A,ECON20014
International Trade Policy,ECON30001
Economic Development,ECON30002
Money and Banking,ECON30005
Labour Economics,ECON30006
Macroeconomics,ECON30009
Microeconomics,ECON30010
Economic Analysis and Policy,ECON30013
Economics of the Law,ECON30018
Behavioural Economics,ECON30019
Mathematical Economics,ECON30020
Experimental Economics,ECON30022
Economics of Financial Markets,ECON30024
International Macroeconomics,ECON30029
Advanced Microeconomics,ECON40001
Advanced Macroeconomics,ECON40002
International Trade,ECON40003
Labour Economics,ECON40008
Positive Political Economics,ECON40009
Game Theory,ECON40010
Monetary Economics,ECON40013
Mathematics for Economists,ECON40017
Economics Research Essay Part 1,ECON40018
Economics Research Essay Part 2,ECON40019
Microeconomics,ECON90002
Macroeconomics,ECON90003
Quantitative Analysis of Finance II,ECON90010
Microeconomics II,ECON90012
Labour Economics,ECON90013
Macroeconomics II,ECON90014
Managerial Economics,ECON90015
International Trade,ECON90019
Game Theory,ECON90022
Macroeconomics for Managers,ECON90032
Quantitative Analysis of Finance I,ECON90033
Economics of Finance,ECON90034
Positive Political Economics,ECON90037
Microeconomics 2,ECON90045
Special Reading Topics in Economics,ECON90052
Mathematics for Economists,ECON90053
Special Reading Topics in Economics 2,ECON90054
Computational Economics,ECON90055
Advanced Microeconomics,ECON90063
Advanced Studies in Economics 1,ECON90064
Special Topics in Economics 1,ECON90066
Special Topics in Economics 2,ECON90067
Economics Research Report Part 1,ECON90071
Economics Research Report Part 2,ECON90072
Economics Thesis Workshop Part 1,ECON90073
Economics Thesis Workshop Part 2,ECON90074
Economic Analysis and Policy,ECON90075
Empirical Methods for Business,ECON90076
Economics of Markets and Organisations,ECON90077
Macroeconomics,ECON90080
"Creativity, Play and the Arts",EDUC10048
Understanding Knowing and Learning,EDUC10050
"Drawing, Painting and Sensory Knowing",EDUC10054
"Wellbeing, Motivation and Performance",EDUC10057
Playing in a Band: Music & Young People,EDUC10058
Introduction to Indigenous Education,EDUC10060
"Youth, Culture and the Arts",EDUC20062
Concepts of Childhood,EDUC20064
"Knowledge, Learning and Culture",EDUC20065
"Sport, Education and the Media",EDUC20068
Deafness and Communication,EDUC20069
Learning via Sport and Outdoor Education,EDUC20070
Links Between Health and Learning,EDUC20073
Positive Communities and Organisations,EDUC20074
Playing with Paper: Collage & Connection,EDUC20077
School Experience as Breadth,EDUC20080
"Literacy, Power and Learning",EDUC20081
Indigenous Education in Community,EDUC20082
"Story, Children and the Arts",EDUC20083
Youth and Popular Culture,EDUC30067
Sports Science & Coaching Applications,EDUC30070
Expertise and Your Professional Career,EDUC30071
Crafting Your Leadership and Career,EDUC30072
"Sport, Leadership and the Community",EDUC30073
Doctor of Education Thesis,EDUC80002
Teaching in Practice,EDUC90001
Effective University Teaching,EDUC90002
Environmental Education,EDUC90006
Second Language Teaching Methodology,EDUC90048
Supervised Teaching (Second Language),EDUC90050
Supervised Observation (Second Language),EDUC90096
Multilingual Practices in Global Times,EDUC90101
Curriculum Design in a Multilingual Era,EDUC90109
School Effectiveness and Improvement,EDUC90126
Personal and Interpersonal Leadership,EDUC90137
Leading a Learning Community,EDUC90139
Curriculum Leadership and Management,EDUC90140
Learning Difficulties in Numeracy,EDUC90194
Learning Difficulties in Literacy,EDUC90195
Ed Psych Practicum 4,EDUC90216
Ed Psych Practicum 3,EDUC90217
Ed Psych Practicum 2,EDUC90218
Research Project,EDUC90219
Research Methods,EDUC90220
Consultation in Educational Settings,EDUC90221
Intervention in Problems of Young People,EDUC90222
Exceptionality:Assessment & Intervention,EDUC90223
Counselling Skills for Ed. Psychologists,EDUC90224
Learning Processes and Problems,EDUC90226
Working with Groups,EDUC90227
Development and Differences,EDUC90228
Ed Psych Practicum 1,EDUC90229
Student Wellbeing: Current Approaches,EDUC90258
IB PYP Advanced,EDUC90260
Curriculum Frameworks in the IB PYP,EDUC90261
Behaviour and Learning,EDUC90290
IB DP Advanced,EDUC90330
Assessment & Reporting in the IB,EDUC90331
Curriculum Frameworks in the IB DP,EDUC90332
Introduction to the IB,EDUC90333
Minor Project in Education 2,EDUC90334
Minor Project in Education 1,EDUC90335
Major Thesis - Education,EDUC90356
"Science, Technology (Digital and Design)",EDUC90376
Advanced English Literacies,EDUC90377
Health and Physical Education,EDUC90378
Education Research Methodology,EDUC90419
Content and Language Integrated Pedagogy,EDUC90481
Linguistics and Sociolinguistics of CLIL,EDUC90482
Listening and the Learning Environment,EDUC90505
Language and Communication,EDUC90506
Language for Learning,EDUC90507
Language & Literacy Intervention,EDUC90508
Designing a Curriculum,EDUC90516
Project on Teaching and Learning,EDUC90517
Education Research Design,EDUC90558
Linking School and Community,EDUC90578
Interpersonal and Group Processes,EDUC90579
Evidence Based Learning and Teaching 2,EDUC90582
Learning and Teaching Contexts 2,EDUC90584
Grammar for Language Teachers,EDUC90587
Developing Clinical Practice 2,EDUC90594
Engagement and the Arts,EDUC90606
Arts Practice and Evaluation,EDUC90607
"Identity, Culture and the Arts",EDUC90608
Mathematics: Teaching with Technology,EDUC90615
Leading Educational Ideas,EDUC90619
Relationship Skills for Educators 1,EDUC90628
Leading Change for Student Wellbeing,EDUC90629
Relationship Skills for Educators 2,EDUC90630
Second Language Acquisition and Teaching,EDUC90631
"Education, Knowledge and Power",EDUC90638
"Identity, Equity and Change",EDUC90641
Critical Thinking and Curriculum,EDUC90642
Teaching Writing & Creating Texts,EDUC90680
Reading Texts: Selection to Response,EDUC90683
21st Century Literacies: Policy & Praxis,EDUC90684
Debates in Evaluation,EDUC90715
Qualitative Methods for Evaluation,EDUC90716
Mixed Methods Research & Evaluation,EDUC90717
Innovative Spaces and Pedagogy,EDUC90728
Effective Clinical Teaching,EDUC90741
Effective Clinical Supervision,EDUC90742
Clinical Education in Practice,EDUC90743
Assessing Clinical Learners,EDUC90744
Evaluation Capstone,EDUC90747
Leading Schools Through Leading Self,EDUC90750
Understanding Schools,EDUC90751
Researching Leadership Practice,EDUC90752
Leading Assessment,EDUC90754
Education Research Project,EDUC90759
Literacy Assessment and Learning,EDUC90777
Leading Educational Research,EDUC90786
Capstone in Positive Psychology,EDUC90790
Clinical Education Modules,EDUC90801
Research in Clinical Education,EDUC90802
Clinical Assessment & Course Evaluation,EDUC90804
Clinical Simulation,EDUC90805
Clinical Teaching and Learning,EDUC90828
The Student as Learner,EDUC90830
Literacy Across the School Years,EDUC90831
Learning From Evidence,EDUC90832
Leadership in Clinical Education,EDUC90836
Clinical Education Research Proposal,EDUC90837
Project in Clinical Education,EDUC90838
Learning Intervention 1,EDUC90845
Practice of Evaluation,EDUC90847
Applied Research Methodology,EDUC90848
Impact Evaluation,EDUC90849
Foundations of Evaluation,EDUC90850
Evaluation and Value for Money,EDUC90851
Autism Intervention,EDUC90859
Science and Technology in Practice,EDUC90860
Evidence-based Practice,EDUC90862
Writing a Literature Review,EDUC90867
Methodological Foundations,EDUC90868
Doctor of Education Thesis Proposal,EDUC90869
Laying the Foundations for Your Research,EDUC90870
International Baccalaureate Capstone,EDUC90871
Foundations of the Science of Learning,EDUC90872
"Brain, Mind and Education",EDUC90873
Mathematics for the Primary Years,EDUC90876
Clinical Teaching Practice (Prim) 2,EDUC90878
Clinical Teaching Practice (Prim) 3,EDUC90879
Becoming a Clinical Practitioner (Prim),EDUC90880
Diverse and Inclusive Classrooms (Prim),EDUC90881
Leading Literacy in Primary Schools,EDUC90886
Becoming a Clinical Practitioner (EC),EDUC90891
Clinical Teaching Practice (EC) 2,EDUC90893
Clinical Teaching Practice (EC) 3,EDUC90894
Educational Leadership (EC & Prim),EDUC90896
Resilience and Relationships,EDUC90900
Contemporary Education Debates,EDUC90903
Becoming a Clinical Practitioner (Sec),EDUC90905
"Inclusive Language, Literacy & Numeracy",EDUC90907
Clinical Teaching Practice (Sec) 3,EDUC90910
Researching Education Practice,EDUC90926
Understanding Education in Context,EDUC90929
Local Literacies in Global Contexts,EDUC90930
Education Research Design Part 1,EDUC90931
Education Research Design Part 2,EDUC90932
Communities of Arts Practices,EDUC90936
International Issues in Arts Education,EDUC90937
Using Data to Improve Learning,EDUC90939
Education Policy and Reform,EDUC90940
Managing the Educational Organisation,EDUC90942
Marketing and Innovation in Education,EDUC90943
Applied Research Study,EDUC90945
Mathematics Across the Curriculum,EDUC90946
Mathematics: Building Teacher Capacity,EDUC90947
Mathematics: Improving Learning,EDUC90948
Education Policy in Practice,EDUC90949
Global Education Policy,EDUC90950
Informal Science Communication,EDUC90952
Interdisciplinary Science Education,EDUC90953
Science Communication and Technology,EDUC90954
IB MYP Advanced,EDUC90969
Facilitating Online Learning,EDUC90970
Clinical Teaching Capstone,EDUC90978
Clinical Teaching Practice (EC&P) 4,EDUC90987
Clinical Teaching Practice (EC&P) 5,EDUC90988
Capstone Professional Project,EDUC90989
Supervised Teaching-Adult (Second Lang),EDUC90996
Learning Area A2,EDUC90997
Learning Area B2,EDUC90998
Professional Learning Capstone (Interns),EDUC90999
"Science, Tech (Digital & Design) (EC&P)",EDUC91001
Health and Physical Education (EC&P),EDUC91002
Professional Learning Capstone (EC&P),EDUC91004
Professional Learning Capstone (EC),EDUC91005
Clinical Teaching Practice (Prim) 2 PT,EDUC91007
Clinical Teaching Practice (Prim) 3 PT,EDUC91008
Professional Learning Capstone (Prim),EDUC91009
Professional Learning Capstone (Sec),EDUC91015
Education Randomised Controlled Trials,EDUC91017
Learning from Evidence (EC&P),EDUC91018
Multimodal Literacies,EDUC91022
"Equity, Diversity & Inclusive Practices",EDUC91023
Professional Pedagogical Practices (P3),EDUC91024
The Arts and Creative Pedagogies,EDUC91025
"Leadership, Advocacy, Activism & Ethics",EDUC91026
STEM Learning Ecologies,EDUC91027
Contemporary Issues in Early Childhood,EDUC91028
Understanding the Student as Learner,EDUC91029
Research in Educational Relationships,EDUC91030
Language in Diverse Contexts,EDUC91031
Principles of Positive Psychology,EDUC91041
Applications of Positive Psychology,EDUC91042
Systems Informed Approaches to Change,EDUC91043
Positive Psychology and Organisations,EDUC91044
Critical Review of Wellbeing Science,EDUC91045
"Wellbeing Design, Delivery & Evaluation",EDUC91046
First Nations in Education,EDUC91047
Engaging and Assessing Learners (EC) 1,EDUC91048
"Language, Literacy & Play-based Learning",EDUC91049
"Children, Childhood and Families",EDUC91050
Becoming Numerate in the Early Years,EDUC91052
Diversity and Inclusion,EDUC91053
"The Arts, Play and Young Children",EDUC91054
Engaging and Assessing Learners (EC) 3,EDUC91055
Social and Emotional Wellbeing,EDUC91056
"Leadership, Ethics and Advocacy (EC)",EDUC91059
Inquiry and Project Learning,EDUC91060
Engaging and Assessing Learners (ECP) 1,EDUC91062
Language and Literacy: Birth to 8 Years,EDUC91063
Engaging Children in the Arts,EDUC91064
Engaging and Assessing Learners (ECP) 2,EDUC91065
Numeracy: Birth to 8 Years,EDUC91066
Science in Early Childhood and Primary,EDUC91067
"Being Healthy, Well and Active",EDUC91068
Language & Literacy: F to Year 2 (ECP),EDUC91069
Engaging and Assessing Learners (ECP) 3,EDUC91070
Mathematics: Primary 1,EDUC91073
Engaging and Assessing Learners (ECP) 4,EDUC91075
Leadership in Diverse Contexts,EDUC91076
Mathematics: Primary 2,EDUC91077
Engaging and Assessing Learners (Prim) 1,EDUC91078
Language and Literacy: F to Year 2,EDUC91079
Mathematics Education: Primary 1,EDUC91080
Learning In and Through Primary Arts,EDUC91082
Language and Literacy: Years 3 to 6,EDUC91083
Mathematics Education: Primary 2,EDUC91084
Engaging and Assessing Learners (Prim) 3,EDUC91085
Mathematics Education: Primary 3,EDUC91086
Literacy Assessment and Learning,EDUC91087
Primary Science Education,EDUC91089
"Wellbeing, Health and Physical Education",EDUC91090
Primary Humanities Education,EDUC91091
Engaging and Assessing Learners (Sec) 1,EDUC91092
Learning Area Accounting 1,EDUC91093
Learning Area Biology 1,EDUC91094
Learning Area Business Management 1,EDUC91095
Learning Area Chemistry 1,EDUC91096
Learning Area Commerce 1,EDUC91097
Learning Area Drama A1,EDUC91098
Learning Area Drama B1,EDUC91099
Learning Area Economics 1,EDUC91100
Learning Area English 1,EDUC91101
Learning Area Environmental Science 1,EDUC91102
Learning Area Health Education 1,EDUC91103
Learning Area History 1,EDUC91104
Learning Area Humanities 1,EDUC91105
Learning Area Humanities Additional 1,EDUC91106
Learning Area Mathematics 1,EDUC91109
Learning Area Media Studies 1,EDUC91110
Learning Area Music A1,EDUC91111
Learning Area Music B1,EDUC91112
Learning Area Physical Education 1,EDUC91113
Learning Area Physics 1,EDUC91114
Learning Area Politics 1,EDUC91115
Learning Area Psychology 1,EDUC91116
Learning Area Science 1,EDUC91117
Learning Area TESOL 1,EDUC91118
Learning Area Visual Arts and Design A1,EDUC91119
Learning Area Visual Arts and Design B1,EDUC91120
"Literacies, Languages, and Learners",EDUC91122
Learning Area Accounting 2,EDUC91123
Learning Area Biology 2,EDUC91124
Learning Area Business Management 2,EDUC91125
Learning Area Chemistry 2,EDUC91126
Learning Area Commerce 2,EDUC91127
Learning Area Drama A2,EDUC91128
Learning Area Economics 2,EDUC91130
Learning Area English 2,EDUC91131
Learning Area Environmental Science 2,EDUC91132
Learning Area History 2,EDUC91134
Learning Area Humanities 2,EDUC91135
Learning Area Humanities Additional 2,EDUC91136
Learning Area Languages 2,EDUC91137
Learning Area Legal Studies 2,EDUC91138
Learning Area Mathematics 2,EDUC91139
Learning Area Media Studies 2,EDUC91140
Learning Area Music A2,EDUC91141
Learning Area Music B2,EDUC91142
Learning Area Physical Education 2,EDUC91143
Learning Area Physics 2,EDUC91144
Learning Area Politics 2,EDUC91145
Learning Area Psychology 2,EDUC91146
Learning Area Science 2,EDUC91147
Learning Area TESOL 2,EDUC91148
Learning Area Visual Arts and Design A2,EDUC91149
Learning Area Visual Arts and Design B2,EDUC91150
Engaging and Assessing Learners (Sec) 3,EDUC91151
Professional Learning Capstone (MTeach),EDUC91152
Learning Area Chemistry 3,EDUC91156
Learning Area Commerce 3,EDUC91157
Learning Area Drama A3,EDUC91158
Learning Area Economics 3,EDUC91160
Learning Area English 3,EDUC91161
Learning Area Environmental Science 3,EDUC91162
Learning Area Health Education 3,EDUC91163
Learning Area History 3,EDUC91164
Learning Area Humanities 3,EDUC91165
Learning Area Humanities Additional 3,EDUC91166
Learning Area Languages 3,EDUC91167
Learning Area Legal Studies 3,EDUC91168
Learning Area Mathematics 3,EDUC91169
Learning Area Music A3,EDUC91171
Learning Area Physics 3,EDUC91174
Learning Area Politics 3,EDUC91175
Learning Area Psychology 3,EDUC91176
Learning Area Science 3,EDUC91177
Learning Area Visual Arts and Design B3,EDUC91180
Promoting Wellbeing in Secondary Schools,EDUC91181
Leadership in Schools,EDUC91182
Foundations: Arts Teaching,EDUC91183
Foundations: DigiTech Teaching,EDUC91184
Foundations: English Teaching,EDUC91185
Foundations: Health & Phys Ed Teaching,EDUC91186
Foundations: Mathematics Teaching,EDUC91189
Foundations: Science Teaching,EDUC91190
Learning Foundations,EDUC91191
Guiding Change for Inclusive Practice,EDUC91192
Early Childhood Research Design,EDUC91195
Doing Early Childhood Research,EDUC91196
Research Project in Education,EDUC91197
Research Project in Education Part 1,EDUC91198
Research Project in Education Part 2,EDUC91199
Neurodiversity and Learning,EDUC91200
Education and International Development,EDUC91201
First Nations in Education (SI),EDUC91202
Engaging and Assessing Learners (SI) 1,EDUC91203
Engaging and Assessing Learners (SI) 2,EDUC91204
Engaging and Assessing Learners (SI) 3,EDUC91205
"Literacies, Languages, and Learners (SI)",EDUC91206
Leadership in Schools (SI),EDUC91207
Promoting Wellbeing in Sec Schools (SI),EDUC91208
Learning Area Accounting (SI) 1,EDUC91209
Learning Area Biology (SI) 1,EDUC91210
Learning Area Business Mgmt (SI) 1,EDUC91211
Learning Area Chemistry (SI) 1,EDUC91212
Learning Area Commerce (SI) 1,EDUC91213
Learning Area Drama (SI) A1,EDUC91214
Learning Area Drama (SI) B1,EDUC91215
Learning Area Economics (SI) 1,EDUC91216
Learning Area English (SI) 1,EDUC91217
Learning Area Environmental Sci (SI) 1,EDUC91218
Learning Area Health Education (SI) 1,EDUC91219
Learning Area History (SI) 1,EDUC91220
Learning Area Humanities (SI) 1,EDUC91221
Learning Area Humanities Addt'l (SI) 1,EDUC91222
Learning Area Legal Studies (SI) 1,EDUC91224
Learning Area Mathematics (SI) 1,EDUC91225
Learning Area Music (SI) A1,EDUC91227
Learning Area Music (SI) B1,EDUC91228
Learning Area Physical Education (SI) 1,EDUC91229
Learning Area Physics (SI) 1,EDUC91230
Learning Area Politics (SI) 1,EDUC91231
Learning Area Psychology (SI) 1,EDUC91232
Learning Area Science (SI) 1,EDUC91233
Learning Area TESOL (SI) 1,EDUC91234
Learning Area Visual Arts & Des (SI) A1,EDUC91235
Learning Area Visual Arts & Des (SI) B1,EDUC91236
Learning Area Accounting (SI) 2,EDUC91237
Learning Area Biology (SI) 2,EDUC91238
Learning Area Business Mgmt (SI) 2,EDUC91239
Learning Area Chemistry (SI) 2,EDUC91240
Learning Area Drama (SI) A2,EDUC91242
Learning Area Drama (SI) B2,EDUC91243
Learning Area Economics (SI) 2,EDUC91244
Learning Area English (SI) 2,EDUC91245
Learning Area Environmental Sci (SI) 2,EDUC91246
Learning Area Health Education (SI) 2,EDUC91247
Learning Area History (SI) 2,EDUC91248
Learning Area Humanities (SI) 2,EDUC91249
Learning Area Humanities Addt'l (SI) 2,EDUC91250
Learning Area Languages (SI) 2,EDUC91251
Learning Area Legal Studies (SI) 2,EDUC91252
Learning Area Mathematics (SI) 2,EDUC91253
Learning Area Media Studies (SI) 2,EDUC91254
Learning Area Music (SI) B2,EDUC91256
Learning Area Physical Education (SI) 2,EDUC91257
Learning Area Physics (SI) 2,EDUC91258
Learning Area Politics (SI) 2,EDUC91259
Learning Area Psychology (SI) 2,EDUC91260
Learning Area Science (SI) 2,EDUC91261
Learning Area TESOL (SI) 2,EDUC91262
Learning Area Visual Arts & Des (SI) A2,EDUC91263
Learning Area Visual Arts & Des (SI) B2,EDUC91264
Learning Area Accounting (SI) 3,EDUC91265
Learning Area Biology (SI) 3,EDUC91266
Learning Area Business Mgmt (SI) 3,EDUC91267
Learning Area Chemistry (SI) 3,EDUC91268
Learning Area Commerce (SI) 3,EDUC91269
Learning Area Drama (SI) A3,EDUC91270
Learning Area Drama (SI) B3,EDUC91271
Learning Area Economics (SI) 3,EDUC91272
Learning Area English (SI) 3,EDUC91273
Learning Area Environmental Sci (SI) 3,EDUC91274
